## ROLE AUTHORISATIONS DATA
## Purpose: Defines which systems each role can access and at what level for agentic access control.
## Used by agents to check if a user's role grants the required system rights.
## Normalized mapping from roles.csv for automated rights validation.
##
## Column Definitions:
## - RoleID: Reference to role in roles.csv (R001, R002, etc.)
## - System: Name of the system/application (FinanceApp, HRPortal, DevOps, SalesApp)
## - AccessLevel: Level of access for this role-system combination (Admin, User, Viewer)
##
RoleID,System,AccessLevel
R001,FinanceApp,Admin
R002,HRPortal,User
R003,FinanceApp,User
R004,DevOps,User
R005,HRPortal,Admin
R006,SalesApp,User
R007,FinanceApp,Admin
R008,DevOps,Admin
R009,SalesApp,Admin
R010,HRPortal,Admin
R011,FinanceApp,Viewer
